sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
ERR4783385	chromosome			NODE_6_length_53682_cov_9.289943	53682	0.3927014641779367	f96e1f18a808d08210550bb82d5be310	00704	KF702385	ISAba125	IS30	2175	1089	2175	22438	23524						
ERR4783385	chromosome			NODE_19_length_32361_cov_10.867460	32361	0.3871944624702574	48311dcac150a2702d3c10b3bd72d190	00704	KF702385	ISAba125	IS30	2175	1089	2175	27373	28459						
ERR4783385	chromosome			NODE_44_length_18164_cov_12.991586	18164	0.5748183219555164	6fad55ef95bef2afbf3659aa47c32cd6	01315	CP022426	ISStma11	ISL3	4426	58	3992	1416	5375						
ERR4783385	chromosome			NODE_44_length_18164_cov_12.991586	18164	0.5748183219555164	6fad55ef95bef2afbf3659aa47c32cd6	00021	HQ840942	IS1D	IS1	3030	37	2264	11019	13246						
ERR4783385	chromosome			NODE_196_length_5556_cov_124.622686	5556	0.48830093592512597	e47826e253ed07752be926f0c7aec39a	01399	CP016586.1	16s-rRNA	16S	1554	7	1544	3847	5379						
ERR4783385	chromosome			NODE_386_length_3231_cov_31.590996	3231	0.5571030640668524	cfe612cbb7b113063eb3fd8f686c6489	01314	CP002457	ISPpu12	ISL3	3372	142	3372	1	3231						
ERR4783385	chromosome			NODE_704_length_1482_cov_219.610991	1482	0.43859649122807015	3ae08fa68fcf152800ecbc023cddb364	01361	KY617771	ISAjo2	ISNCY	1482	1	1482	1	1482						
ERR4783385	chromosome			NODE_705_length_1481_cov_55.772069	1481	0.4355165428764348	be82821e5b0f7c4658215654467aa312	01364	CP012956	ISAba32	ISNCY	1482	1	1482	1	1481						
ERR4783385	plasmid	AB114	AJ690	NODE_3_length_90745_cov_10.072899	90745	0.40869469392253016	673e2664074bbbae75dada3aff860e1e	00962	CP024418	ISAba12	IS5	1039	1	1039	19513	20559	1048	minus	100.0	94.847	0.0	1628
ERR4783385	plasmid	AB114	AJ690	NODE_3_length_90745_cov_10.072899	90745	0.40869469392253016	673e2664074bbbae75dada3aff860e1e	00958	MF399199	ISAha2	IS5	1040	1	1040	32540	33578	1040	plus	100.0	95.673	0.0	1670
ERR4783385	plasmid	AB114	AJ690	NODE_764_length_1276_cov_16.384027	1276	0.3785266457680251	d16e62b2462e7a2b1f9ab52d0b313d22	00596	JX076770	ISAba21	IS3	1274	1	1274	2	1275	1274	plus	100.0	99.686	0.0	2331
ERR4783385	plasmid	AB114	AJ690	NODE_847_length_1039_cov_151.462766	1039	0.40038498556304136	fa9cc5d696914a1c373a42662a838685	00966	CP001182	ISAlw1	IS5	1039	1	1039	1	1039	1039	plus	100.0	100.0	0.0	1919
