qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002211__NC_010606_00001|rep_cluster_734	NODE_22_length_55843_cov_55.716759	1113	55843	1	1113	17136	18247	1113	0	99.91	100.0	100.0	minus	0.0	2049	replicon
000523__LT594096_00001|rep_cluster_1226	NODE_36_length_9507_cov_154.786884	936	9507	1	936	8431	9366	936	0	100.0	100.0	100.0	minus	0.0	1729	replicon
000594__NZ_AFDL01000005_00001|rep_cluster_1280	NODE_41_length_2376_cov_162.161177	573	2376	1	573	1250	1822	573	0	100.0	100.0	100.0	plus	0.0	1059	replicon
NC_017163_00021|MOBF	NODE_34_length_10367_cov_60.872224	1091	10367	1	1091	3036	6308	1091	2	99.817	100.0	100.0	minus	0.0	2202	relaxase
NC_006877_00013|MOBQ	NODE_36_length_9507_cov_154.786884	363	9507	1	363	558	1646	363	0	100.0	100.0	100.0	minus	0.0	725	relaxase
NZ_AFDA02000006_00006|MOBP	NODE_37_length_6177_cov_187.379566	604	6177	63	604	2	1627	542	0	100.0	90.0	100.0	plus	0.0	1090	relaxase
AF003958_00007|MOBP	NODE_37_length_6177_cov_187.379566	205	6177	1	94	5894	6175	94	0	100.0	46.0	98.0	plus	5.969999999999999e-60	199	relaxase
NC_017163_00053|MPF_F	NODE_22_length_55843_cov_55.716759	1000	55843	1	1000	23923	26922	1000	6	99.4	100.0	100.0	minus	0.0	1822	mate-pair-formation
NC_017163_00052|MPF_F	NODE_22_length_55843_cov_55.716759	475	55843	1	475	26941	28365	475	0	100.0	100.0	100.0	minus	0.0	983	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_22_length_55843_cov_55.716759	685	55843	1	685	29575	31629	685	0	100.0	100.0	100.0	minus	0.0	1419	mate-pair-formation
NC_010606_00080|MPF_F	NODE_22_length_55843_cov_55.716759	235	55843	1	235	31629	32333	235	0	100.0	100.0	100.0	minus	5.88e-158	481	mate-pair-formation
NC_010606_00079|MPF_F	NODE_22_length_55843_cov_55.716759	347	55843	1	347	32351	33391	347	0	100.0	100.0	100.0	minus	0.0	698	mate-pair-formation
NC_010606_00078|MPF_F	NODE_22_length_55843_cov_55.716759	212	55843	1	212	33391	34026	212	0	100.0	100.0	100.0	minus	1.27e-140	431	mate-pair-formation
NC_010606_00076|MPF_T	NODE_22_length_55843_cov_55.716759	908	55843	1	908	34956	37679	908	0	100.0	100.0	100.0	minus	0.0	1754	mate-pair-formation
NC_010606_00075|MPF_F	NODE_22_length_55843_cov_55.716759	214	55843	1	214	37692	38333	214	0	100.0	100.0	100.0	minus	1.17e-145	445	mate-pair-formation
NC_010606_00072|MPF_F	NODE_22_length_55843_cov_55.716759	438	55843	1	438	39364	40677	438	0	100.0	100.0	100.0	minus	0.0	862	mate-pair-formation
NC_010606_00071|MPF_F	NODE_22_length_55843_cov_55.716759	240	55843	1	240	40690	41409	240	0	100.0	100.0	100.0	minus	4.15e-151	462	mate-pair-formation
NZ_AFDA02000009_00109|MPF_I	NODE_23_length_55593_cov_53.288752	272	55593	1	272	51132	51947	272	0	100.0	100.0	100.0	minus	4.2499999999999997e-175	533	mate-pair-formation
NC_017163_00020|MPF_T	NODE_34_length_10367_cov_60.872224	719	10367	1	719	6323	8479	719	4	99.444	100.0	100.0	minus	0.0	1437	mate-pair-formation
