qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002211__NC_010606_00001|rep_cluster_734	NODE_20_length_57392_cov_11.068723	1113	57392	1	1113	26275	27386	1113	0	99.91	100.0	100.0	plus	0.0	2049	replicon
000454__KY202458_00008|rep_cluster_1172	NODE_33_length_8828_cov_253.737004	951	8828	1	951	7759	8709	951	0	100.0	100.0	100.0	minus	0.0	1757	replicon
000594__NZ_AFDL01000005_00001|rep_cluster_1280	NODE_37_length_4609_cov_629.278783	573	4609	1	573	534	1106	573	0	100.0	100.0	100.0	plus	0.0	1059	replicon
000594__NZ_AFDL01000005_00001|rep_cluster_1280	NODE_37_length_4609_cov_629.278783	573	4609	1	573	2768	3340	573	0	100.0	100.0	100.0	plus	0.0	1059	replicon
001993__CP021784_00001|rep_cluster_586	NODE_45_length_2418_cov_850.830559	1191	2418	1	1191	457	1647	1191	0	100.0	100.0	100.0	minus	0.0	2200	replicon
NC_017163_00021|MOBF	NODE_32_length_12046_cov_11.075182	1091	12046	1	1091	3013	6285	1091	2	99.817	100.0	100.0	minus	0.0	2202	relaxase
NC_010606_00071|MPF_F	NODE_20_length_57392_cov_11.068723	240	57392	1	240	3113	3832	240	0	100.0	100.0	100.0	plus	4.03e-151	462	mate-pair-formation
NC_010606_00072|MPF_F	NODE_20_length_57392_cov_11.068723	438	57392	1	438	3845	5158	438	1	99.772	100.0	100.0	plus	0.0	859	mate-pair-formation
NC_010606_00075|MPF_F	NODE_20_length_57392_cov_11.068723	214	57392	1	214	6189	6830	214	0	100.0	100.0	100.0	plus	1.14e-145	445	mate-pair-formation
NC_010606_00076|MPF_T	NODE_20_length_57392_cov_11.068723	908	57392	1	908	6843	9566	908	0	100.0	100.0	100.0	plus	0.0	1754	mate-pair-formation
NC_010606_00078|MPF_F	NODE_20_length_57392_cov_11.068723	212	57392	1	212	10496	11131	212	0	100.0	100.0	100.0	plus	1.23e-140	431	mate-pair-formation
NC_010606_00079|MPF_F	NODE_20_length_57392_cov_11.068723	347	57392	1	347	11131	12171	347	0	100.0	100.0	100.0	plus	0.0	698	mate-pair-formation
NC_010606_00080|MPF_F	NODE_20_length_57392_cov_11.068723	235	57392	1	235	12189	12893	235	0	100.0	100.0	100.0	plus	5.72e-158	481	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_20_length_57392_cov_11.068723	685	57392	1	685	12893	14947	685	0	100.0	100.0	100.0	plus	0.0	1419	mate-pair-formation
NC_017163_00052|MPF_F	NODE_20_length_57392_cov_11.068723	475	57392	1	475	16157	17581	475	0	100.0	100.0	100.0	plus	0.0	983	mate-pair-formation
NC_017163_00053|MPF_F	NODE_20_length_57392_cov_11.068723	1000	57392	1	1000	17600	20599	1000	6	99.4	100.0	100.0	plus	0.0	1822	mate-pair-formation
NC_017163_00020|MPF_T	NODE_32_length_12046_cov_11.075182	719	12046	1	719	6300	8456	719	4	99.444	100.0	100.0	minus	0.0	1437	mate-pair-formation
