sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
ERR8024950	chromosome			NODE_52_length_24819_cov_28.129207	24819	0.3998549498368186	b062d515c2db6a1db9125616293d4fb5	01361	KY617771	ISAjo2	ISNCY	1482	1	1482	20573	22054						
ERR8024950	chromosome			NODE_61_length_21791_cov_37.067951	21791	0.3946583451883805	a4f25358b3e1c0f3681af236ae7dbaea	00345	CP001182	ISAba26	IS256	1318	1	1318	15359	16676						
ERR8024950	chromosome			NODE_146_length_5098_cov_200.794268	5098	0.49823460180462925	d1a5c7933315f28503402dc627adcd78	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	10	1548						
ERR8024950	plasmid	AC935	AM305	NODE_16_length_55768_cov_24.171424	55768	0.4360385884378138	817084a7102ccdcbca7e21cbaa72df99	00596	JX076770	ISAba21	IS3	1274	1	1274	44803	46076	1274	plus	100.0	100.0	0.0	2353
ERR8024950	plasmid	AC935	AM305	NODE_16_length_55768_cov_24.171424	55768	0.4360385884378138	817084a7102ccdcbca7e21cbaa72df99	00962	CP024418	ISAba12	IS5	1039	1	1039	47609	48653	1045	plus	100.0	95.981	0.0	1692
ERR8024950	plasmid	AC935	AM305	NODE_17_length_54659_cov_25.602896	54659	0.37651621873799374	59d65eeb1d74a7e19f60ea6a25605544	01201	JX072963	ISAba11	IS701	1101	1	1101	31862	32962	1101	minus	100.0	98.183	0.0	1923
ERR8024950	plasmid	AC935	AM305	NODE_71_length_17926_cov_24.186234	17926	0.37933727546580387	0f2ffceae97101c4cdf16757f49a4531	00962	CP024418	ISAba12	IS5	1039	1	1013	1	1003	1013	minus	97.0	96.446	0.0	1663
ERR8024950	plasmid	AC935	AM305	NODE_126_length_7206_cov_18.241311	7206	0.4367194004995837	91b87e0c6a9539b30db485d0b5dd52b5	00704	KF702385	ISAba125	IS30	2175	1089	2175	2072	3158	1087	minus	50.0	99.908	0.0	2002
ERR8024950	plasmid	AC935	AM305	NODE_137_length_5957_cov_16.387163	5957	0.3688098035924123	2494946391fcf5bf916338a102fb9f88	01361	KY617771	ISAjo2	ISNCY	1482	1	1482	671	2152	1486	minus	100.0	90.242	0.0	1934
ERR8024950	plasmid	AC935	AM305	NODE_206_length_1039_cov_900.607447	1039	0.39846005774783444	37442d0e63416622680ccbb955792a05	00966	CP001182	ISAlw1	IS5	1039	1	1039	1	1039	1042	plus	100.0	84.741	0.0	1038
ERR8024950	plasmid	AC935	AM305	NODE_207_length_1039_cov_143.928723	1039	0.4080846968238691	3082bb2d2f7fafb4b01e388cb19e0cd3	00965	EU850412	ISAha3	IS5	1040	1	1039	1	1039	1043	minus	99.0	81.112	0.0	828
ERR8024950	plasmid	AB114		NODE_143_length_5400_cov_7.397284	5400	0.3511111111111111	b90d1be19f7eb60a355d32ed4af99fb6	00516	MF399199	ISMca3	IS3	1309	1	1309	181	1489	1309	minus	100.0	96.18	0.0	2141
ERR8024950	plasmid	AE271	AO017	NODE_135_length_6259_cov_34.828084	6259	0.3915961016136763	5a77203fc7a3dcedc5b7447bb9d9427e	00966	CP001182	ISAlw1	IS5	1039	1	1039	100	1138	1042	minus	100.0	82.534	0.0	911
ERR8024950	plasmid	AB410	AK180	NODE_68_length_19224_cov_11.215529	19224	0.3884727424053267	eabe657663d730702ae2aedb37005d6f	01361	KY617771	ISAjo2	ISNCY	1482	1	1482	15808	17289	1485	minus	100.0	91.044	0.0	2001
