qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002211__NC_010606_00001|rep_cluster_734	NODE_15_length_66532_cov_16.741770	1113	66532	1	1113	44677	45788	1113	0	99.91	100.0	100.0	plus	0.0	2049	replicon
000454__KY202458_00008|rep_cluster_1172	NODE_27_length_8830_cov_385.047875	951	8830	1	951	153	1103	951	0	100.0	100.0	100.0	plus	0.0	1757	replicon
NC_017163_00021|MOBF	NODE_15_length_66532_cov_16.741770	1091	66532	1	1091	6984	10256	1091	2	99.817	100.0	100.0	plus	0.0	2202	relaxase
NC_017163_00020|MPF_T	NODE_15_length_66532_cov_16.741770	719	66532	1	719	4813	6969	719	4	99.444	100.0	100.0	plus	0.0	1437	mate-pair-formation
NC_010606_00071|MPF_F	NODE_15_length_66532_cov_16.741770	240	66532	1	240	21515	22234	240	0	100.0	100.0	100.0	plus	3.88e-151	462	mate-pair-formation
NC_010606_00072|MPF_F	NODE_15_length_66532_cov_16.741770	438	66532	1	438	22247	23560	438	0	100.0	100.0	100.0	plus	0.0	862	mate-pair-formation
NC_010606_00075|MPF_F	NODE_15_length_66532_cov_16.741770	214	66532	1	214	24591	25232	214	0	100.0	100.0	100.0	plus	1.09e-145	445	mate-pair-formation
NC_010606_00076|MPF_T	NODE_15_length_66532_cov_16.741770	908	66532	1	908	25245	27968	908	0	100.0	100.0	100.0	plus	0.0	1754	mate-pair-formation
NC_010606_00078|MPF_F	NODE_15_length_66532_cov_16.741770	212	66532	1	212	28898	29533	212	0	100.0	100.0	100.0	plus	1.19e-140	431	mate-pair-formation
NC_010606_00079|MPF_F	NODE_15_length_66532_cov_16.741770	347	66532	1	347	29533	30573	347	0	100.0	100.0	100.0	plus	0.0	698	mate-pair-formation
NC_010606_00080|MPF_F	NODE_15_length_66532_cov_16.741770	235	66532	1	235	30591	31295	235	0	100.0	100.0	100.0	plus	5.5e-158	481	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_15_length_66532_cov_16.741770	685	66532	1	685	31295	33349	685	0	100.0	100.0	100.0	plus	0.0	1419	mate-pair-formation
NC_017163_00052|MPF_F	NODE_15_length_66532_cov_16.741770	475	66532	1	475	34559	35983	475	0	100.0	100.0	100.0	plus	0.0	983	mate-pair-formation
NC_017163_00053|MPF_F	NODE_15_length_66532_cov_16.741770	1000	66532	1	1000	36002	39001	1000	6	99.4	100.0	100.0	plus	0.0	1822	mate-pair-formation
