qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000454__KY202458_00008|rep_cluster_1172	NODE_102_length_21878_cov_13.995959	951	21878	1	951	1932	2882	951	0	100.0	100.0	100.0	plus	0.0	1757	replicon
000571__CP015620_00012|rep_cluster_1259	NODE_133_length_16548_cov_32.413156	930	16548	1	916	795	1710	916	15	98.362	98.0	98.0	minus	0.0	1609	replicon
CP032289_00012|rep_cluster_2288	NODE_49_length_37213_cov_36.124320	747	37213	1	747	28119	28865	747	26	96.519	100.0	100.0	plus	0.0	1236	replicon
001057__CP015616_00173|rep_cluster_1656	NODE_71_length_29184_cov_12.285405	774	29184	1	774	25938	26711	776	84	88.66	100.0	100.0	minus	0.0	942	replicon
NZ_AEOY01000096_00007|MOBP	NODE_102_length_21878_cov_13.995959	300	21878	1	300	8895	9794	300	20	93.333	100.0	100.0	minus	0.0	588	relaxase
NZ_AEOY01000096_00007|MOBP	NODE_116_length_19708_cov_10.309144	300	19708	22	300	6325	7161	279	13	95.341	93.0	93.0	minus	0.0	553	relaxase
NZ_AEOY01000096_00007|MOBP	NODE_19_length_64374_cov_28.848012	300	64374	137	300	5235	5726	164	9	94.512	55.0	98.0	minus	7.42e-154	323	relaxase
NZ_AEOY01000096_00007|MOBP	NODE_19_length_64374_cov_28.848012	300	64374	1	131	5753	6160	136	13	86.765	44.0	98.0	minus	7.42e-154	236	relaxase
NZ_ALIR01000019_00003|MOBQ	NODE_277_length_4439_cov_2.718203	972	4439	1	972	599	3514	972	12	98.765	100.0	100.0	minus	0.0	1887	relaxase
NZ_CM001803_00063|MOBP	NODE_2_length_161389_cov_32.030609	283	161389	1	283	479	1327	283	19	93.286	100.0	100.0	plus	0.0	563	relaxase
NZ_AEOY01000096_00007|MOBP	NODE_71_length_29184_cov_12.285405	300	29184	1	131	12985	13377	131	13	90.076	44.0	99.0	plus	4.5700000000000003e-110	249	relaxase
