qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002211__NC_010606_00001|rep_cluster_734	NODE_37_length_38692_cov_9.593035	1113	38692	1	1113	28311	29422	1113	0	99.91	100.0	100.0	plus	0.0	2049	replicon
000562__KT346360_00001|rep_cluster_1254	NODE_49_length_17631_cov_14.223534	930	17631	176	930	16778	17532	755	72	90.464	81.0	81.0	minus	0.0	996	replicon
000454__KY202458_00008|rep_cluster_1172	NODE_55_length_8830_cov_453.715611	951	8830	1	951	175	1125	951	0	100.0	100.0	100.0	plus	0.0	1757	replicon
NC_017163_00021|MOBF	NODE_46_length_23810_cov_8.708586	1091	23810	1	1091	3037	6309	1091	2	99.817	100.0	100.0	minus	0.0	2202	relaxase
NC_010606_00071|MPF_F	NODE_37_length_38692_cov_9.593035	240	38692	1	240	5149	5868	240	0	100.0	100.0	100.0	plus	3.84e-151	462	mate-pair-formation
NC_010606_00072|MPF_F	NODE_37_length_38692_cov_9.593035	438	38692	1	438	5881	7194	438	0	100.0	100.0	100.0	plus	0.0	862	mate-pair-formation
NC_010606_00075|MPF_F	NODE_37_length_38692_cov_9.593035	214	38692	1	214	8225	8866	214	0	100.0	100.0	100.0	plus	1.08e-145	445	mate-pair-formation
NC_010606_00076|MPF_T	NODE_37_length_38692_cov_9.593035	908	38692	1	908	8879	11602	908	0	100.0	100.0	100.0	plus	0.0	1754	mate-pair-formation
NC_010606_00078|MPF_F	NODE_37_length_38692_cov_9.593035	212	38692	1	212	12532	13167	212	0	100.0	100.0	100.0	plus	1.1799999999999998e-140	431	mate-pair-formation
NC_010606_00079|MPF_F	NODE_37_length_38692_cov_9.593035	347	38692	1	347	13167	14207	347	0	100.0	100.0	100.0	plus	0.0	698	mate-pair-formation
NC_010606_00080|MPF_F	NODE_37_length_38692_cov_9.593035	235	38692	1	235	14225	14929	235	0	100.0	100.0	100.0	plus	5.44e-158	481	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_37_length_38692_cov_9.593035	685	38692	1	685	14929	16983	685	0	100.0	100.0	100.0	plus	0.0	1419	mate-pair-formation
NC_017163_00052|MPF_F	NODE_37_length_38692_cov_9.593035	475	38692	1	475	18193	19617	475	0	100.0	100.0	100.0	plus	0.0	983	mate-pair-formation
NC_017163_00053|MPF_F	NODE_37_length_38692_cov_9.593035	1000	38692	1	1000	19636	22635	1000	6	99.4	100.0	100.0	plus	0.0	1822	mate-pair-formation
NC_017163_00020|MPF_T	NODE_46_length_23810_cov_8.708586	719	23810	1	719	6324	8480	719	4	99.444	100.0	100.0	minus	0.0	1437	mate-pair-formation
