qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
CP016696|MOBP	NODE_36_length_35854_cov_14.569095	393	35854	1	393	31728	32118	393	9	97.201	100.0	100.0	plus	0.0	664	oriT
CP033534_00010|rep_cluster_1254	NODE_100_length_4964_cov_160.076876	606	4964	1	606	1073	1677	606	1	99.67	100.0	100.0	minus	0.0	1107	replicon
001839__KT325596|rep_cluster_481	NODE_36_length_35854_cov_14.569095	1221	35854	1	1202	26359	27560	1202	32	97.338	98.0	98.0	plus	0.0	2043	replicon
000682__CU468232_00001|rep_cluster_1364	NODE_83_length_10941_cov_74.881756	894	10941	1	891	6377	7256	895	107	85.922	99.0	99.0	plus	0.0	937	replicon
NZ_AEOY01000096_00007|MOBP	NODE_120_length_1952_cov_15.913654	300	1952	1	300	114	1013	300	16	94.667	100.0	100.0	plus	0.0	596	relaxase
NZ_ALIG01000010_00048|MOBP	NODE_128_length_1274_cov_415.089362	284	1274	1	284	46	897	284	40	85.915	100.0	100.0	minus	0.0	514	relaxase
NZ_CM001803_00063|MOBP	NODE_1_length_214461_cov_36.404750	283	214461	1	283	157646	158494	283	23	91.873	100.0	100.0	minus	0.0	555	relaxase
CP038024_00064|MOBP	NODE_36_length_35854_cov_14.569095	357	35854	1	357	32897	33967	357	13	96.359	100.0	100.0	plus	0.0	706	relaxase
NZ_AEOZ01000236_00020|MOBQ	NODE_77_length_12076_cov_17.731402	958	12076	1	958	5227	8100	958	23	97.599	100.0	100.0	minus	0.0	1914	relaxase
NZ_AEOY01000096_00007|MOBP	NODE_79_length_11865_cov_61.097484	300	11865	1	300	760	1659	300	15	95.0	100.0	100.0	minus	0.0	597	relaxase
CP042207_00010|MOBQ	NODE_83_length_10941_cov_74.881756	430	10941	1	364	4669	5760	364	11	96.978	85.0	100.0	plus	0.0	739	relaxase
NC_019218_00004|MPF_T	NODE_36_length_35854_cov_14.569095	884	35854	21	781	8388	10673	763	30	95.675	86.0	98.0	minus	0.0	1496	mate-pair-formation
NC_019218_00007|MPF_T	NODE_36_length_35854_cov_14.569095	297	35854	1	297	13247	14134	297	11	95.96	100.0	100.0	minus	0.0	572	mate-pair-formation
NC_019217_00008|MPF_T	NODE_36_length_35854_cov_14.569095	315	35854	1	300	14194	15084	300	4	97.667	95.0	95.0	minus	1.34e-173	530	mate-pair-formation
NC_019217_00010|MPF_T	NODE_36_length_35854_cov_14.569095	341	35854	1	341	15831	16853	341	3	99.12	100.0	100.0	minus	3.31e-168	516	mate-pair-formation
NZ_ALIR01000021_00020|MPF_T	NODE_36_length_35854_cov_14.569095	820	35854	1	820	17182	19641	820	5	99.39	100.0	100.0	minus	0.0	1667	mate-pair-formation
