qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
CP033538_00006|rep_cluster_2314	NODE_126_length_8466_cov_10.093582	690	8466	1	690	1143	1833	692	70	89.451	100.0	100.0	minus	0.0	870	replicon
002092__CU459140_00002|rep_cluster_639	NODE_131_length_8189_cov_6.960939	1173	8189	1	1173	6757	7929	1173	4	99.659	100.0	100.0	plus	0.0	2145	replicon
CP033534_00010|rep_cluster_1254	NODE_147_length_6889_cov_10.846981	606	6889	1	606	2938	3542	606	1	99.67	100.0	100.0	minus	0.0	1107	replicon
CP032289_00012|rep_cluster_2288	NODE_43_length_27842_cov_5.607000	747	27842	1	730	26486	27215	730	49	93.288	98.0	98.0	plus	0.0	1077	replicon
NZ_CM001803_00063|MOBP	NODE_10_length_56383_cov_5.134141	283	56383	116	283	53822	54322	168	13	91.667	59.0	86.0	minus	1.8e-102	325	relaxase
NZ_CM001803_00063|MOBP	NODE_10_length_56383_cov_5.134141	283	56383	41	121	56141	56383	81	9	88.889	29.0	86.0	minus	7.36e-45	159	relaxase
CP031711_00011|MOBQ	NODE_126_length_8466_cov_10.093582	391	8466	1	391	2869	4047	393	53	86.005	100.0	100.0	minus	0.0	687	relaxase
NZ_CM001803_00063|MOBP	NODE_208_length_2556_cov_5.723647	283	2556	1	283	1536	2384	283	0	100.0	100.0	100.0	minus	0.0	598	relaxase
NZ_ALIG01000010_00048|MOBP	NODE_248_length_923_cov_44.134709	284	923	1	235	1	705	235	28	88.085	83.0	83.0	minus	1.6000000000000002e-156	436	relaxase
NZ_AEOY01000096_00007|MOBP	NODE_258_length_821_cov_46.709141	300	821	1	254	1	762	254	11	95.669	85.0	85.0	minus	0.0	506	relaxase
