qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002211__NC_010606_00001|rep_cluster_734	NODE_17_length_44949_cov_14.592977	1113	44949	1	1113	15528	16639	1113	0	99.91	100.0	100.0	minus	0.0	2049	replicon
000523__LT594096_00001|rep_cluster_1226	NODE_24_length_12960_cov_193.913848	936	12960	1	936	5688	6623	936	2	99.786	100.0	100.0	minus	0.0	1718	replicon
CP033534_00010|rep_cluster_1254	NODE_32_length_3433_cov_194.820036	606	3433	1	606	1169	1773	606	1	99.67	100.0	100.0	minus	0.0	1107	replicon
NC_017163_00021|MOBF	NODE_26_length_12094_cov_13.827428	1091	12094	1	1091	5786	9058	1091	2	99.817	100.0	100.0	plus	0.0	2202	relaxase
NC_017163_00053|MPF_F	NODE_17_length_44949_cov_14.592977	1000	44949	1	1000	22315	25314	1000	6	99.4	100.0	100.0	minus	0.0	1822	mate-pair-formation
NC_017163_00052|MPF_F	NODE_17_length_44949_cov_14.592977	475	44949	1	475	25333	26757	475	0	100.0	100.0	100.0	minus	0.0	983	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_17_length_44949_cov_14.592977	685	44949	1	685	27967	30021	685	0	100.0	100.0	100.0	minus	0.0	1419	mate-pair-formation
NC_010606_00080|MPF_F	NODE_17_length_44949_cov_14.592977	235	44949	1	235	30021	30725	235	0	100.0	100.0	100.0	minus	5.47e-158	481	mate-pair-formation
NC_010606_00079|MPF_F	NODE_17_length_44949_cov_14.592977	347	44949	1	347	30743	31783	347	0	100.0	100.0	100.0	minus	0.0	698	mate-pair-formation
NC_010606_00078|MPF_F	NODE_17_length_44949_cov_14.592977	212	44949	1	212	31783	32418	212	0	100.0	100.0	100.0	minus	1.1799999999999998e-140	431	mate-pair-formation
NC_010606_00076|MPF_T	NODE_17_length_44949_cov_14.592977	908	44949	1	908	33348	36071	908	0	100.0	100.0	100.0	minus	0.0	1754	mate-pair-formation
NC_010606_00075|MPF_F	NODE_17_length_44949_cov_14.592977	214	44949	1	214	36084	36725	214	0	100.0	100.0	100.0	minus	1.09e-145	445	mate-pair-formation
NC_010606_00072|MPF_F	NODE_17_length_44949_cov_14.592977	438	44949	1	438	37756	39069	438	0	100.0	100.0	100.0	minus	0.0	862	mate-pair-formation
NC_010606_00071|MPF_F	NODE_17_length_44949_cov_14.592977	240	44949	1	240	39082	39801	240	0	100.0	100.0	100.0	minus	3.86e-151	462	mate-pair-formation
NC_017163_00020|MPF_T	NODE_26_length_12094_cov_13.827428	719	12094	1	719	3615	5771	719	4	99.444	100.0	100.0	plus	0.0	1437	mate-pair-formation
