sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
ERR10820997:AE271	7	80192	0.3739649840383081	7a79dffe2e42d2e14b1c5ee0e1d916ab	-	-	-	-	-	-	-	-	non-mobilizable	CP039931	0.0182524	Acinetobacter baumannii	AE271	AO017	genus	Acinetobacter	genus	Acinetobacter	-	-	-
ERR10820997:AE272	5	83763	0.36938743836777577	dfc5ea58e93274040be3fcb573858704	-	-	-	-	-	-	-	-	non-mobilizable	CP036285	0.016782	Acinetobacter baumannii	AE272	AO018	genus	Acinetobacter	genus	Acinetobacter	-	-	-
ERR10820997:AH171	1	28514	0.4074165029469548	3e943c2715f31e1a9d86ebb00ebfa81c	-	-	-	-	-	-	-	-	non-mobilizable	CP039027	0.0184965	Acinetobacter baumannii ATCC 17978	AH171	AR227	genus	Acinetobacter	genus	Acinetobacter	-	-	-
ERR10820997:AB114	10	100798	0.3939264667949761	523e3a8b1385b7c4885efec0d9f49f98	rep_cluster_718	002191__CP004359_00001	MOBP,MOBP	NZ_AEOY01000096_00007,NZ_ALIG01000010_00048	-	-	-	-	mobilizable	CP027185	0.00141786	Acinetobacter baumannii	AB114	AJ689	genus	Acinetobacter	genus	Acinetobacter	-	-	-
ERR10820997:AC940	3	33950	0.39723122238586156	3a672a50107236b117af9a65079fbdbd	-	-	MOBP	NZ_AEOY01000096_00007	-	-	-	-	mobilizable	NC_021734	0.0282247	Acinetobacter baumannii BJAB0715	AC940	-	genus	Acinetobacter	genus	Acinetobacter	-	-	-
ERR10820997:novel_5ee800d3cb216f7edd1280e199e80154	1	22779	0.39694455419465297	5ee800d3cb216f7edd1280e199e80154	rep_cluster_1072	000321__KX528687_00080	MOBP	KY984047_00026	-	-	-	-	mobilizable	CP026617	0.0723061	Acinetobacter sp. SWBY1	novel_5ee800d3cb216f7edd1280e199e80154	-	genus	Acinetobacter	genus	Acinetobacter	-	-	-
ERR10820997:AB829	5	28890	0.4043267566632053	e15a36df58402ada7c23900ed97965d0	-	-	-	-	-	-	-	-	non-mobilizable	CP032138	0.0543589	Acinetobacter sp. WCHAc010052	AB829	-	genus	Acinetobacter	genus	Acinetobacter	-	-	-
ERR10820997:novel_4b798401113ce43003a42bd0a2406021	1	4525	0.3588950276243094	4b798401113ce43003a42bd0a2406021	-	-	MOBP	NZ_AFDA02000006_00006	-	-	-	-	mobilizable	CP033770	0.0653942	Acinetobacter baumannii	novel_4b798401113ce43003a42bd0a2406021	-	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
ERR10820997:AB337	1	3244	0.3323057953144266	83d9ce4af794bf77e170a52570a5bb77	rep_cluster_1254	CP033534_00010	-	-	-	-	-	-	non-mobilizable	KT946773	0.0227107	Acinetobacter baumannii	AB337	AK067	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
ERR10820997:AB355	1	1933	0.38903259182617694	68ab8ab99620fe01b88b273b9d4af363	-	-	-	-	-	-	-	-	non-mobilizable	CP033554	0.0560862	Acinetobacter nosocomialis	AB355	-	genus	Acinetobacter	genus	Acinetobacter	-	-	-
