qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000599__KX426232_00098|rep_cluster_1282	NODE_132_length_6671_cov_131.027237	924	6671	1	924	4812	5735	924	32	96.537	100.0	100.0	plus	0.0	1530	replicon
000676__CU468233_00017|rep_cluster_1357	NODE_98_length_11679_cov_96.043437	897	11679	1	890	9294	10183	890	71	92.022	99.0	99.0	plus	0.0	1251	replicon
NC_017163_00021|MOBF	NODE_123_length_7746_cov_4.531581	1091	7746	1	1091	2622	5894	1091	0	100.0	100.0	100.0	plus	0.0	2207	relaxase
CP032102_00178|MOBQ	NODE_132_length_6671_cov_131.027237	478	6671	1	478	2799	4232	478	14	97.071	100.0	100.0	plus	0.0	928	relaxase
NZ_AFDA02000010_00002|MOBQ	NODE_162_length_4099_cov_530.306250	307	4099	1	266	1	804	268	9	95.896	87.0	100.0	minus	1.7000000000000002e-179	529	relaxase
NC_017163_00020|MPF_T	NODE_123_length_7746_cov_4.531581	719	7746	1	719	451	2607	719	0	100.0	100.0	100.0	plus	0.0	1447	mate-pair-formation
NC_010606_00071|MPF_F	NODE_180_length_2863_cov_6.062952	240	2863	1	216	2216	2863	216	0	100.0	90.0	90.0	plus	1.75e-140	414	mate-pair-formation
NC_017163_00053|MPF_F	NODE_75_length_18159_cov_6.641528	1000	18159	1	1000	1403	4402	1000	0	100.0	100.0	100.0	minus	0.0	1831	mate-pair-formation
NC_017163_00052|MPF_F	NODE_75_length_18159_cov_6.641528	475	18159	1	475	4421	5845	475	0	100.0	100.0	100.0	minus	0.0	983	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_75_length_18159_cov_6.641528	685	18159	1	685	7051	9105	685	3	99.562	100.0	100.0	minus	0.0	1414	mate-pair-formation
NC_010606_00080|MPF_F	NODE_75_length_18159_cov_6.641528	235	18159	1	235	9105	9809	235	1	99.574	100.0	100.0	minus	2.7000000000000003e-157	479	mate-pair-formation
NC_010606_00079|MPF_F	NODE_75_length_18159_cov_6.641528	347	18159	1	347	9827	10867	347	0	100.0	100.0	100.0	minus	0.0	698	mate-pair-formation
NC_010606_00078|MPF_F	NODE_75_length_18159_cov_6.641528	212	18159	1	212	10867	11502	212	0	100.0	100.0	100.0	minus	1.19e-140	431	mate-pair-formation
NC_010606_00076|MPF_T	NODE_75_length_18159_cov_6.641528	908	18159	1	908	12432	15155	908	0	100.0	100.0	100.0	minus	0.0	1754	mate-pair-formation
NC_010606_00075|MPF_F	NODE_75_length_18159_cov_6.641528	214	18159	1	214	15168	15809	214	0	100.0	100.0	100.0	minus	1.1e-145	445	mate-pair-formation
NC_010606_00072|MPF_F	NODE_75_length_18159_cov_6.641528	438	18159	1	438	16840	18153	438	0	100.0	100.0	100.0	minus	0.0	862	mate-pair-formation
