sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
ERR4999575	chromosome			NODE_1_length_472613_cov_21.959843	472613	0.39710714686223186	47d9ca36658875745002c46fec494f51	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	467529	469067						
ERR4999575	chromosome			NODE_15_length_101818_cov_21.836373	101818	0.4063230470054411	d41409a0a1317249d1f6ccd5126597e2	00966	CP001182	ISAlw1	IS5	1039	1	1039	72239	73277						
ERR4999575	chromosome			NODE_49_length_5603_cov_10.217297	5603	0.3971086917722649	0df5e965e987033ad0ffc68d05acdd69	00822	KF978125	ISPa13	IS4	3729	1	2332	1146	3477						
ERR4999575	chromosome			NODE_72_length_1403_cov_25.333589	1403	0.43763364219529577	f7a3fb4068f9d13fe95973ada00ca6b6	01361	KY617771	ISAjo2	ISNCY	1482	1	1403	1	1403						
ERR4999575	plasmid	AC716	AM018	NODE_45_length_7852_cov_9.485489	7852	0.5427916454406521	5fc8cb930d9f1c6baa8fccf8826caaa1	01315	CP022426	ISStma11	ISL3	4426	58	1840	1851	3637	1799	plus	40.0	82.046	0.0	1507
ERR4999575	plasmid	AC716	AM018	NODE_45_length_7852_cov_9.485489	7852	0.5427916454406521	5fc8cb930d9f1c6baa8fccf8826caaa1	01315	CP022426	ISStma11	ISL3	4426	1962	3351	3708	5097	1398	plus	31.0	85.122	0.0	1415
ERR4999575	plasmid	AC716	AM018	NODE_55_length_3208_cov_8.929881	3208	0.4445137157107232	d29758790ec61223592bd8c868a89fb9	01381	MF399199	ISAcsp1	Tn3	3736	276	3483	1	3208	3208	minus	86.0	100.0	0.0	5925
ERR4999575	plasmid	AC716	AM018	NODE_60_length_2594_cov_57.019639	2594	0.46838858905165764	83590ecbb30b2e6b5774d0a412fef51a	01166	JX441323	ISAba17	IS66	2491	973	2491	1076	2594	1521	plus	61.0	88.626	0.0	1847
ERR4999575	plasmid	AC716	AM018	NODE_75_length_1282_cov_94.486898	1282	0.38221528861154447	3334b54892cc99baa88c5c538fd8d9af	00418	KF702385	ISAba14	IS3	1283	1	1282	1	1282	1282	minus	99.0	99.844	0.0	2357
ERR4999575	plasmid	AC716	AM018	NODE_76_length_1103_cov_40.602590	1103	0.34088848594741616	8ffda8d69afa8242e153bbbe275df539	01201	JX072963	ISAba11	IS701	1101	1	1101	3	1103	1101	plus	100.0	98.638	0.0	1951
ERR4999575	plasmid	AC716	AM018	NODE_77_length_1087_cov_59.700405	1087	0.3689052437902484	bf32ead907cf7f3f6873b0250a239dd7	00704	KF702385	ISAba125	IS30	2175	1089	2175	1	1087	1087	minus	50.0	99.908	0.0	2002
ERR4999575	plasmid	AC973		NODE_32_length_16910_cov_22.513592	16910	0.41927853341218213	1c20cbeaec187e3c9aafc06f9c32a25c	01314	CP002457	ISPpu12	ISL3	3372	1	3372	11739	15111	3375	minus	100.0	95.97	0.0	5474
ERR4999575	plasmid	AC973		NODE_48_length_6027_cov_21.170547	6027	0.37073254417567336	e5936f5072b67efb1b33ac3270990e45	00965	EU850412	ISAha3	IS5	1040	1	1039	509	1547	1043	minus	99.0	80.633	0.0	800
