qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
001057__CP015616_00173|rep_cluster_1656	NODE_36_length_32250_cov_7.328077	774	32250	1	774	12922	13695	774	8	98.966	100.0	100.0	minus	0.0	1386	replicon
000555__CP019152_00006|rep_cluster_1247	NODE_99_length_5436_cov_43.551039	933	5436	1	933	2286	3218	933	8	99.143	100.0	100.0	plus	0.0	1679	replicon
NZ_CM001803_00063|MOBP	NODE_11_length_69031_cov_16.188185	283	69031	1	152	118	573	152	17	88.816	54.0	97.0	minus	2.18e-90	290	relaxase
NZ_AEOY01000096_00007|MOBP	NODE_11_length_69031_cov_16.188185	300	69031	1	300	24060	24959	300	13	95.667	100.0	100.0	minus	0.0	600	relaxase
NZ_AEOY01000096_00007|MOBP	NODE_20_length_45921_cov_9.282113	300	45921	1	300	1365	2264	300	11	96.333	100.0	100.0	minus	0.0	606	relaxase
NZ_AEOY01000096_00007|MOBP	NODE_20_length_45921_cov_9.282113	300	45921	51	300	22052	22801	250	11	95.6	83.0	100.0	plus	5.77e-164	502	relaxase
NZ_CM001803_00063|MOBP	NODE_20_length_45921_cov_9.282113	283	45921	34	283	45170	45919	250	0	100.0	88.0	99.0	minus	4.02e-174	530	relaxase
NZ_ALIG01000010_00048|MOBP	NODE_31_length_34602_cov_9.197780	284	34602	1	284	9532	10383	284	40	85.915	100.0	100.0	plus	2.55e-168	514	relaxase
NZ_CM001803_00063|MOBP	NODE_36_length_32250_cov_7.328077	283	32250	1	72	8535	8750	72	13	81.944	25.0	100.0	plus	1.4800000000000001e-33	126	relaxase
NZ_ALIG01000010_00048|MOBP	NODE_36_length_32250_cov_7.328077	284	32250	1	284	16332	17183	284	33	88.38	100.0	100.0	plus	8.77e-175	532	relaxase
NZ_AEOY01000096_00007|MOBP	NODE_80_length_11789_cov_15.596322	300	11789	1	300	760	1659	300	16	94.667	100.0	100.0	minus	0.0	594	relaxase
