qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002211__NC_010606_00001|rep_cluster_734	NODE_23_length_67224_cov_61.268916	1113	67224	1	1113	17403	18514	1113	0	99.91	100.0	100.0	minus	0.0	2049	replicon
000454__KY202458_00008|rep_cluster_1172	NODE_46_length_8830_cov_183.373611	951	8830	1	951	175	1125	951	0	100.0	100.0	100.0	plus	0.0	1757	replicon
000562__KT346360_00001|rep_cluster_1254	NODE_6_length_177402_cov_32.643644	930	177402	176	930	176549	177303	755	72	90.464	81.0	81.0	minus	0.0	996	replicon
NC_017163_00021|MOBF	NODE_23_length_67224_cov_61.268916	1091	67224	1	1091	49661	52933	1091	2	99.817	100.0	100.0	minus	0.0	2202	relaxase
NC_017163_00053|MPF_F	NODE_23_length_67224_cov_61.268916	1000	67224	1	1000	24190	27189	1000	6	99.4	100.0	100.0	minus	0.0	1822	mate-pair-formation
NC_017163_00052|MPF_F	NODE_23_length_67224_cov_61.268916	475	67224	1	475	27208	28632	475	0	100.0	100.0	100.0	minus	0.0	983	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_23_length_67224_cov_61.268916	685	67224	1	685	29842	31896	685	0	100.0	100.0	100.0	minus	0.0	1419	mate-pair-formation
NC_010606_00080|MPF_F	NODE_23_length_67224_cov_61.268916	235	67224	1	235	31896	32600	235	0	100.0	100.0	100.0	minus	5.66e-158	481	mate-pair-formation
NC_010606_00079|MPF_F	NODE_23_length_67224_cov_61.268916	347	67224	1	347	32618	33658	347	0	100.0	100.0	100.0	minus	0.0	698	mate-pair-formation
NC_010606_00078|MPF_F	NODE_23_length_67224_cov_61.268916	212	67224	1	212	33658	34293	212	0	100.0	100.0	100.0	minus	1.22e-140	431	mate-pair-formation
NC_010606_00076|MPF_T	NODE_23_length_67224_cov_61.268916	908	67224	1	908	35223	37946	908	0	100.0	100.0	100.0	minus	0.0	1754	mate-pair-formation
NC_010606_00075|MPF_F	NODE_23_length_67224_cov_61.268916	214	67224	1	214	37959	38600	214	0	100.0	100.0	100.0	minus	1.13e-145	445	mate-pair-formation
NC_010606_00072|MPF_F	NODE_23_length_67224_cov_61.268916	438	67224	1	438	39631	40944	438	0	100.0	100.0	100.0	minus	0.0	862	mate-pair-formation
NC_010606_00071|MPF_F	NODE_23_length_67224_cov_61.268916	240	67224	1	240	40957	41676	240	0	100.0	100.0	100.0	minus	3.99e-151	462	mate-pair-formation
NC_017163_00020|MPF_T	NODE_23_length_67224_cov_61.268916	719	67224	1	719	52948	55104	719	4	99.444	100.0	100.0	minus	0.0	1437	mate-pair-formation
