qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000454__KY202458_00008|rep_cluster_1172	NODE_137_length_8830_cov_446.474631	951	8830	1	951	175	1125	951	0	100.0	100.0	100.0	plus	0.0	1757	replicon
000562__KT346360_00001|rep_cluster_1254	NODE_256_length_1325_cov_11.614192	930	1325	176	930	100	854	755	72	90.464	81.0	81.0	plus	0.0	996	replicon
002211__NC_010606_00001|rep_cluster_734	NODE_26_length_35443_cov_14.967915	1113	35443	1	1113	34033	35144	1113	0	99.91	100.0	100.0	plus	0.0	2049	replicon
NC_017163_00021|MOBF	NODE_26_length_35443_cov_14.967915	1091	35443	1	1091	2895	6167	1091	2	99.817	100.0	100.0	plus	0.0	2202	relaxase
NC_017163_00020|MPF_T	NODE_26_length_35443_cov_14.967915	719	35443	1	719	724	2880	719	4	99.444	100.0	100.0	plus	0.0	1437	mate-pair-formation
NC_010606_00071|MPF_F	NODE_26_length_35443_cov_14.967915	240	35443	1	240	17227	17946	240	0	100.0	100.0	100.0	plus	3.84e-151	462	mate-pair-formation
NC_010606_00072|MPF_F	NODE_26_length_35443_cov_14.967915	438	35443	1	438	17959	19272	438	0	100.0	100.0	100.0	plus	0.0	862	mate-pair-formation
NC_010606_00075|MPF_F	NODE_26_length_35443_cov_14.967915	214	35443	1	214	20303	20944	214	0	100.0	100.0	100.0	plus	1.08e-145	445	mate-pair-formation
NC_017163_00052|MPF_F	NODE_26_length_35443_cov_14.967915	475	35443	1	475	23915	25339	475	0	100.0	100.0	100.0	plus	0.0	983	mate-pair-formation
NC_017163_00053|MPF_F	NODE_26_length_35443_cov_14.967915	1000	35443	1	1000	25358	28357	1000	6	99.4	100.0	100.0	plus	0.0	1822	mate-pair-formation
