qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000599__KX426232_00098|rep_cluster_1282	NODE_100_length_6683_cov_300.470383	924	6683	1	924	4812	5735	924	32	96.537	100.0	100.0	plus	0.0	1530	replicon
000676__CU468233_00017|rep_cluster_1357	NODE_86_length_11064_cov_300.336525	897	11064	1	890	882	1771	890	71	92.022	99.0	99.0	minus	0.0	1251	replicon
CP032102_00178|MOBQ	NODE_100_length_6683_cov_300.470383	478	6683	1	478	2799	4232	478	14	97.071	100.0	100.0	plus	0.0	928	relaxase
NZ_AFDA02000010_00002|MOBQ	NODE_112_length_4099_cov_1311.089000	307	4099	1	307	132	1058	309	14	94.822	100.0	100.0	minus	0.0	562	relaxase
NC_010606_00072|MPF_F	NODE_111_length_4461_cov_3.639156	438	4461	24	438	1	1245	415	0	100.0	95.0	95.0	plus	0.0	813	mate-pair-formation
NC_010606_00075|MPF_F	NODE_111_length_4461_cov_3.639156	214	4461	1	214	2276	2917	214	0	100.0	100.0	100.0	plus	1.96e-148	445	mate-pair-formation
NC_010606_00071|MPF_F	NODE_122_length_2920_cov_4.562212	240	2920	1	240	16	735	240	0	100.0	100.0	100.0	minus	7.11e-159	462	mate-pair-formation
NC_017163_00053|MPF_F	NODE_87_length_10924_cov_4.106882	1000	10924	1	1000	784	3783	1000	1	99.9	100.0	100.0	minus	0.0	1829	mate-pair-formation
NC_017163_00052|MPF_F	NODE_87_length_10924_cov_4.106882	475	10924	1	475	3802	5226	475	1	99.789	100.0	100.0	minus	0.0	981	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_87_length_10924_cov_4.106882	685	10924	1	685	6432	8486	685	3	99.562	100.0	100.0	minus	0.0	1414	mate-pair-formation
NC_010606_00080|MPF_F	NODE_87_length_10924_cov_4.106882	235	10924	1	235	8486	9190	235	1	99.574	100.0	100.0	minus	2.67e-157	479	mate-pair-formation
NC_010606_00079|MPF_F	NODE_87_length_10924_cov_4.106882	347	10924	1	347	9208	10248	347	0	100.0	100.0	100.0	minus	0.0	698	mate-pair-formation
NC_010606_00078|MPF_F	NODE_87_length_10924_cov_4.106882	212	10924	1	212	10248	10883	212	1	99.528	100.0	100.0	minus	6.19e-140	429	mate-pair-formation
