qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002211__NC_010606_00001|rep_cluster_734	NODE_22_length_67224_cov_62.646749	1113	67224	1	1113	48711	49822	1113	0	99.91	100.0	100.0	plus	0.0	2049	replicon
000454__KY202458_00008|rep_cluster_1172	NODE_48_length_8830_cov_191.019929	951	8830	1	951	175	1125	951	0	100.0	100.0	100.0	plus	0.0	1757	replicon
000562__KT346360_00001|rep_cluster_1254	NODE_8_length_166093_cov_31.355398	930	166093	176	930	100	854	755	72	90.464	81.0	81.0	plus	0.0	996	replicon
NC_017163_00021|MOBF	NODE_22_length_67224_cov_62.646749	1091	67224	1	1091	14292	17564	1091	2	99.817	100.0	100.0	plus	0.0	2202	relaxase
NC_017163_00020|MPF_T	NODE_22_length_67224_cov_62.646749	719	67224	1	719	12121	14277	719	4	99.444	100.0	100.0	plus	0.0	1437	mate-pair-formation
NC_010606_00071|MPF_F	NODE_22_length_67224_cov_62.646749	240	67224	1	240	25549	26268	240	0	100.0	100.0	100.0	plus	3.99e-151	462	mate-pair-formation
NC_010606_00072|MPF_F	NODE_22_length_67224_cov_62.646749	438	67224	1	438	26281	27594	438	0	100.0	100.0	100.0	plus	0.0	862	mate-pair-formation
NC_010606_00075|MPF_F	NODE_22_length_67224_cov_62.646749	214	67224	1	214	28625	29266	214	0	100.0	100.0	100.0	plus	1.13e-145	445	mate-pair-formation
NC_010606_00076|MPF_T	NODE_22_length_67224_cov_62.646749	908	67224	1	908	29279	32002	908	0	100.0	100.0	100.0	plus	0.0	1754	mate-pair-formation
NC_010606_00078|MPF_F	NODE_22_length_67224_cov_62.646749	212	67224	1	212	32932	33567	212	0	100.0	100.0	100.0	plus	1.22e-140	431	mate-pair-formation
NC_010606_00079|MPF_F	NODE_22_length_67224_cov_62.646749	347	67224	1	347	33567	34607	347	0	100.0	100.0	100.0	plus	0.0	698	mate-pair-formation
NC_010606_00080|MPF_F	NODE_22_length_67224_cov_62.646749	235	67224	1	235	34625	35329	235	0	100.0	100.0	100.0	plus	5.6699999999999996e-158	481	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_22_length_67224_cov_62.646749	685	67224	1	685	35329	37383	685	0	100.0	100.0	100.0	plus	0.0	1419	mate-pair-formation
NC_017163_00052|MPF_F	NODE_22_length_67224_cov_62.646749	475	67224	1	475	38593	40017	475	0	100.0	100.0	100.0	plus	0.0	983	mate-pair-formation
NC_017163_00053|MPF_F	NODE_22_length_67224_cov_62.646749	1000	67224	1	1000	40036	43035	1000	6	99.4	100.0	100.0	plus	0.0	1822	mate-pair-formation
