sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
ERR7226614	chromosome			NODE_27_length_5528_cov_201.717075	5528	0.48842257597684513	f3df911e0b7a437dbcc686f8f6d24e30	01399	CP016586.1	16s-rRNA	16S	1554	7	1544	3818	5350						
ERR7226614	plasmid	AB114	AJ691	NODE_15_length_97294_cov_38.717444	97294	0.42704586099862274	3152b775c91d8c3da96b794dcbd6e555	00965	EU850412	ISAha3	IS5	1040	1	1039	84393	85431	1042	plus	99.0	90.499	0.0	1371
ERR7226614	plasmid	AB114	AJ691	NODE_15_length_97294_cov_38.717444	97294	0.42704586099862274	3152b775c91d8c3da96b794dcbd6e555	01315	CP022426	ISStma11	ISL3	4426	58	1840	85968	87754	1799	plus	40.0	82.101	0.0	1513
ERR7226614	plasmid	AB114	AJ691	NODE_15_length_97294_cov_38.717444	97294	0.42704586099862274	3152b775c91d8c3da96b794dcbd6e555	01315	CP022426	ISStma11	ISL3	4426	1962	3969	87825	89832	2009	plus	45.0	87.108	0.0	2274
ERR7226614	plasmid	AB114	AJ691	NODE_35_length_1274_cov_93.467234	1274	0.37755102040816324	de5fc384bfc770a8fa1814292378252f	00596	JX076770	ISAba21	IS3	1274	1	1274	1	1274	1274	plus	100.0	87.049	0.0	1439
ERR7226614	plasmid	AE026		NODE_19_length_65844_cov_61.719097	65844	0.4192434635800873	398381498884356bab137cff94dfab90	00613	M95402	IS1133	IS3	6705	4922	6705	1210	2993	1784	minus	27.0	100.0	0.0	3295
ERR7226614	plasmid	AE026		NODE_19_length_65844_cov_61.719097	65844	0.4192434635800873	398381498884356bab137cff94dfab90	00418	KF702385	ISAba14	IS3	1283	1	1283	2993	4275	1283	minus	100.0	94.622	0.0	1988
ERR7226614	plasmid	AE026		NODE_19_length_65844_cov_61.719097	65844	0.4192434635800873	398381498884356bab137cff94dfab90	00613	M95402	IS1133	IS3	6705	1	3659	4306	7964	3659	minus	55.0	99.836	0.0	6724
ERR7226614	plasmid	AE026		NODE_19_length_65844_cov_61.719097	65844	0.4192434635800873	398381498884356bab137cff94dfab90	00470	FJ012880	ISAba18	IS3	1321	1	1321	25697	27025	1347	minus	100.0	88.419	0.0	1583
ERR7226614	plasmid	AE026		NODE_38_length_1087_cov_502.903846	1087	0.37074517019319225	1d9a9e3efa19c16d874cadc7e889f257	00704	KF702385	ISAba125	IS30	2175	1	1087	1	1087	1087	plus	50.0	99.172	0.0	1958
