qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002211__NC_010606_00001|rep_cluster_734	NODE_28_length_55827_cov_21.786231	1113	55827	1	1113	17145	18256	1113	0	99.91	100.0	100.0	minus	0.0	2049	replicon
000523__LT594096_00001|rep_cluster_1226	NODE_44_length_9483_cov_350.630102	936	9483	1	936	8385	9320	936	0	100.0	100.0	100.0	minus	0.0	1729	replicon
000594__NZ_AFDL01000005_00001|rep_cluster_1280	NODE_51_length_2457_cov_3094.075987	573	2457	1	573	1024	1596	573	0	100.0	100.0	100.0	minus	0.0	1059	replicon
NC_017163_00021|MOBF	NODE_42_length_10319_cov_23.458024	1091	10319	1	1091	3012	6284	1091	2	99.817	100.0	100.0	minus	0.0	2202	relaxase
NC_006877_00013|MOBQ	NODE_44_length_9483_cov_350.630102	363	9483	1	363	512	1600	363	0	100.0	100.0	100.0	minus	0.0	725	relaxase
NZ_AFDA02000006_00006|MOBP	NODE_45_length_6153_cov_558.568279	604	6153	1	604	3463	5274	604	0	100.0	100.0	100.0	minus	0.0	1224	relaxase
NC_017163_00053|MPF_F	NODE_28_length_55827_cov_21.786231	1000	55827	1	1000	23932	26931	1000	6	99.4	100.0	100.0	minus	0.0	1822	mate-pair-formation
NC_017163_00052|MPF_F	NODE_28_length_55827_cov_21.786231	475	55827	1	475	26950	28374	475	0	100.0	100.0	100.0	minus	0.0	983	mate-pair-formation
NZ_AEOY01000095_00077|MPF_F	NODE_28_length_55827_cov_21.786231	685	55827	1	685	29584	31638	685	0	100.0	100.0	100.0	minus	0.0	1419	mate-pair-formation
NC_010606_00080|MPF_F	NODE_28_length_55827_cov_21.786231	235	55827	1	235	31638	32342	235	0	100.0	100.0	100.0	minus	5.87e-158	481	mate-pair-formation
NC_010606_00079|MPF_F	NODE_28_length_55827_cov_21.786231	347	55827	1	347	32360	33400	347	0	100.0	100.0	100.0	minus	0.0	698	mate-pair-formation
NC_010606_00078|MPF_F	NODE_28_length_55827_cov_21.786231	212	55827	1	212	33400	34035	212	0	100.0	100.0	100.0	minus	1.27e-140	431	mate-pair-formation
NC_010606_00076|MPF_T	NODE_28_length_55827_cov_21.786231	908	55827	1	908	34965	37688	908	0	100.0	100.0	100.0	minus	0.0	1754	mate-pair-formation
NC_010606_00075|MPF_F	NODE_28_length_55827_cov_21.786231	214	55827	1	214	37701	38342	214	0	100.0	100.0	100.0	minus	1.17e-145	445	mate-pair-formation
NC_010606_00072|MPF_F	NODE_28_length_55827_cov_21.786231	438	55827	1	438	39373	40686	438	0	100.0	100.0	100.0	minus	0.0	862	mate-pair-formation
NC_010606_00071|MPF_F	NODE_28_length_55827_cov_21.786231	240	55827	1	240	40699	41418	240	0	100.0	100.0	100.0	minus	4.14e-151	462	mate-pair-formation
NZ_AFDA02000009_00109|MPF_I	NODE_29_length_55545_cov_21.521723	272	55545	1	272	3623	4438	272	0	100.0	100.0	100.0	plus	4.24e-175	533	mate-pair-formation
NC_017163_00020|MPF_T	NODE_42_length_10319_cov_23.458024	719	10319	1	719	6299	8455	719	4	99.444	100.0	100.0	minus	0.0	1437	mate-pair-formation
