sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
SRR13327196:AE272	10	102481	0.37348386530186084	88365299b3032717de3650ca21c54e27	-	-	MOBP	NZ_ALIG01000010_00048	-	-	-	-	mobilizable	CP036285	0.00141786	Acinetobacter baumannii	AE272	AO018	genus	Acinetobacter	genus	Acinetobacter	-	-	-
SRR13327196:AB114	20	101962	0.4207057531237128	b2359c7b0c28a54e0b22f0d15340b3d5	rep_cluster_718	002191__CP004359_00001	-	-	-	-	-	-	non-mobilizable	CP026128	0.0106116	Acinetobacter baumannii	AB114	AJ692	genus	Acinetobacter	genus	Acinetobacter	-	-	-
SRR13327196:AE271	7	73566	0.3795367425169236	ba6416f9cc76e4002cf53508471ca111	-	-	-	-	-	-	-	-	non-mobilizable	CP039931	0.0197565	Acinetobacter baumannii	AE271	AO017	genus	Acinetobacter	genus	Acinetobacter	-	-	-
SRR13327196:AB083	2	25941	0.3556532130604063	cd3c4310fda4389e933f5cc8500e8a5c	-	-	-	-	MPF_F	NC_017163_00053,NC_017163_00052,NZ_AEOY01000095_00077,NC_010606_00080,NC_010606_00079,NC_010606_00078,NC_010606_00075,NC_010606_00072,NC_010606_00071,NC_010606_00076	-	-	non-mobilizable	CP032742	0.0144049	Acinetobacter baumannii	AB083	AJ652	genus	Acinetobacter	genus	Acinetobacter	-	-	-
SRR13327196:AC237	3	22456	0.47617563234770216	824245a0f1332a5e0e084b727797f674	rep_cluster_1254	000562__KT346360_00001	-	-	-	-	-	-	non-mobilizable	CP003907	0.00521614	Acinetobacter baumannii BJAB07104	AC237	AL339	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
SRR13327196:AD096	3	18975	0.3800263504611331	7592c2574bb1d38727aeeb1f1cd77bf2	-	-	-	-	-	-	-	-	non-mobilizable	CP040085	0.00544411	Acinetobacter baumannii	AD096	AM527	genus	Acinetobacter	genus	Acinetobacter	-	-	-
SRR13327196:AC163	1	8830	0.3434881087202718	d93255121c171bafeac2f9f3abb5ae93	rep_cluster_1172	000454__KY202458_00008	-	-	-	-	-	-	non-mobilizable	CP026708	0.0	Acinetobacter baumannii	AC163	AL241	genus	Acinetobacter	genus	Acinetobacter	-	-	-
SRR13327196:AF972	12	37632	0.400213134407886	2be4162a95132cd2a8b1a6880b7bf021	-	-	-	-	-	-	-	-	non-mobilizable	CP040044	0.0468354	Acinetobacter baumannii	AF972	-	genus	Acinetobacter	genus	Acinetobacter	-	-	-
SRR13327196:AB082	11	36451	0.3365339771199693	80c626434538f59dc52923c1209d7ba0	-	-	MOBF	NC_017163_00021	MPF_T	NC_017163_00020	-	-	conjugative	CP042842	0.0343598	Acinetobacter baumannii	AB082	-	genus	Acinetobacter	genus	Acinetobacter	-	-	-
SRR13327196:AF098	2	8657	0.49324246274691	e8025f29ac6524c3b80f4e18c022ae3b	-	-	-	-	-	-	-	-	non-mobilizable	KM189195	0.0556462	Vibrio parahaemolyticus	AF098	-	genus	Vibrio	genus	Vibrio	-	-	-
