sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
ERR8024951	chromosome			NODE_7_length_106660_cov_17.780013	106660	0.4041252578286143	eba45d756597fe1ace194e13bfce31cc	01361	KY617771	ISAjo2	ISNCY	1482	1	1482	84535	86016						
ERR8024951	chromosome			NODE_152_length_5092_cov_102.701454	5092	0.4988216810683425	e9b94ac2f2f282f95b1753d57c8faeff	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	10	1548						
ERR8024951	plasmid	AC935	AM305	NODE_19_length_50764_cov_7.977618	50764	0.44261681506579464	ad4ca991c595cfe1a869fe6e3eadb861	00965	EU850412	ISAha3	IS5	1040	1	1039	9505	10542	1039	plus	99.0	98.075	0.0	1807
ERR8024951	plasmid	AC935	AM305	NODE_19_length_50764_cov_7.977618	50764	0.44261681506579464	ad4ca991c595cfe1a869fe6e3eadb861	00596	JX076770	ISAba21	IS3	1274	1	1274	12075	13348	1274	minus	100.0	100.0	0.0	2353
ERR8024951	plasmid	AC935	AM305	NODE_22_length_45866_cov_9.793782	45866	0.38163345397462173	261903fa153a09280c08ca1069820b3d	01201	JX072963	ISAba11	IS701	1101	1	1101	18480	19580	1101	plus	100.0	98.183	0.0	1923
ERR8024951	plasmid	AC935	AM305	NODE_40_length_29436_cov_8.825954	29436	0.3740657698056801	f1a67b066832803a78936f8d2e0a5bb7	00704	KF702385	ISAba125	IS30	2175	1089	2175	1570	2656	1087	plus	50.0	99.908	0.0	2002
ERR8024951	plasmid	AC935	AM305	NODE_113_length_7607_cov_6.877064	7607	0.3613776784540555	2b21c4b832757f606d8621b963970235	01361	KY617771	ISAjo2	ISNCY	1482	1	1482	2321	3802	1486	minus	100.0	90.242	0.0	1934
ERR8024951	plasmid	AC935	AM305	NODE_189_length_1654_cov_5.725402	1654	0.3887545344619105	503f93e03ef3ff0b46eda9c677f95590	00516	MF399199	ISMca3	IS3	1309	90	1309	1	1220	1220	plus	93.0	96.066	0.0	1988
ERR8024951	plasmid	AC935	AM305	NODE_211_length_1039_cov_39.170213	1039	0.4032723772858518	b642b8d483f8a76e8461c78fb6459fd1	00966	CP001182	ISAlw1	IS5	1039	1	1039	1	1039	1042	minus	100.0	82.534	0.0	911
ERR8024951	plasmid	AC935	AM305	NODE_209_length_1039_cov_468.546809	1039	0.39846005774783444	37442d0e63416622680ccbb955792a05	00966	CP001182	ISAlw1	IS5	1039	1	1039	1	1039	1042	plus	100.0	84.741	0.0	1038
ERR8024951	plasmid	AC935	AM305	NODE_210_length_1039_cov_77.409574	1039	0.4080846968238691	3082bb2d2f7fafb4b01e388cb19e0cd3	00965	EU850412	ISAha3	IS5	1040	1	1039	1	1039	1043	minus	99.0	81.112	0.0	828
ERR8024951	plasmid	AB410		NODE_71_length_14795_cov_4.634390	14795	0.38519770192632646	0e9e396e3240ddc7fbffbd33b13a5a8b	01361	KY617771	ISAjo2	ISNCY	1482	1	1482	799	2280	1485	plus	100.0	91.044	0.0	2001
